id,country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
208688,Belgium,2020-03-01,0.0,6.0,-2.0,5.0,-1.0,0.0
208689,Belgium,2020-03-02,-4.0,7.0,-12.0,0.0,3.0,0.0
208690,Belgium,2020-03-03,2.0,6.0,11.0,1.0,4.0,0.0
208691,Belgium,2020-03-04,1.0,4.0,7.0,1.0,4.0,0.0
208692,Belgium,2020-03-05,-4.0,1.0,-16.0,-2.0,2.0,2.0
208693,Belgium,2020-03-06,-1.0,5.0,2.0,3.0,2.0,1.0
208694,Belgium,2020-03-07,5.0,3.0,33.0,8.0,2.0,0.0
208695,Belgium,2020-03-08,-1.0,1.0,-21.0,-2.0,-1.0,0.0
208696,Belgium,2020-03-09,-1.0,4.0,6.0,-1.0,2.0,0.0
208697,Belgium,2020-03-10,-4.0,4.0,-5.0,-4.0,1.0,2.0
208698,Belgium,2020-03-11,-4.0,4.0,-3.0,-4.0,1.0,2.0
208699,Belgium,2020-03-12,-7.0,23.0,4.0,-7.0,-1.0,3.0
208700,Belgium,2020-03-13,-8.0,40.0,-5.0,-16.0,-7.0,5.0
208701,Belgium,2020-03-14,-70.0,-8.0,0.0,-34.0,-27.0,12.0
208702,Belgium,2020-03-15,-66.0,-18.0,20.0,-34.0,-29.0,8.0
208703,Belgium,2020-03-16,-32.0,16.0,7.0,-43.0,-36.0,14.0
208704,Belgium,2020-03-17,-36.0,30.0,31.0,-46.0,-45.0,16.0
208705,Belgium,2020-03-18,-61.0,-12.0,7.0,-56.0,-52.0,20.0
208706,Belgium,2020-03-19,-75.0,-23.0,-19.0,-67.0,-61.0,27.0
208707,Belgium,2020-03-20,-79.0,-22.0,-50.0,-71.0,-62.0,31.0
208708,Belgium,2020-03-21,-84.0,-39.0,-34.0,-67.0,-51.0,22.0
208709,Belgium,2020-03-22,-79.0,-45.0,-20.0,-63.0,-48.0,15.0
208710,Belgium,2020-03-23,-74.0,-25.0,-20.0,-70.0,-65.0,26.0
208711,Belgium,2020-03-24,-74.0,-21.0,-8.0,-69.0,-66.0,27.0
208712,Belgium,2020-03-25,-76.0,-29.0,-19.0,-69.0,-65.0,26.0
208713,Belgium,2020-03-26,-77.0,-25.0,-25.0,-72.0,-66.0,29.0
208714,Belgium,2020-03-27,-78.0,-21.0,-27.0,-70.0,-65.0,31.0
208715,Belgium,2020-03-28,-83.0,-36.0,-38.0,-67.0,-51.0,22.0
208716,Belgium,2020-03-29,-84.0,-53.0,-66.0,-76.0,-52.0,17.0
208717,Belgium,2020-03-30,-76.0,-30.0,-35.0,-72.0,-66.0,27.0
208718,Belgium,2020-03-31,-75.0,-25.0,-18.0,-71.0,-66.0,28.0
208719,Belgium,2020-04-01,-76.0,-31.0,-18.0,-69.0,-64.0,26.0
208720,Belgium,2020-04-02,-77.0,-27.0,-38.0,-73.0,-66.0,30.0
208721,Belgium,2020-04-03,-79.0,-21.0,-38.0,-72.0,-65.0,32.0
208722,Belgium,2020-04-04,-82.0,-32.0,-30.0,-64.0,-50.0,22.0
208723,Belgium,2020-04-05,-76.0,-36.0,-13.0,-60.0,-46.0,15.0
208724,Belgium,2020-04-06,-74.0,-27.0,-19.0,-69.0,-66.0,26.0
208725,Belgium,2020-04-07,-72.0,-19.0,4.0,-67.0,-66.0,26.0
208726,Belgium,2020-04-08,-73.0,-25.0,-3.0,-66.0,-64.0,24.0
208727,Belgium,2020-04-09,-73.0,-18.0,-7.0,-67.0,-66.0,27.0
208728,Belgium,2020-04-10,-75.0,-14.0,-12.0,-67.0,-66.0,30.0
208729,Belgium,2020-04-11,-79.0,-25.0,-20.0,-60.0,-47.0,20.0
208730,Belgium,2020-04-12,-75.0,-40.0,-24.0,-61.0,-45.0,15.0
208731,Belgium,2020-04-13,-86.0,-76.0,-31.0,-80.0,-88.0,35.0
208732,Belgium,2020-04-14,-73.0,-11.0,-26.0,-70.0,-66.0,27.0
208733,Belgium,2020-04-15,-74.0,-24.0,-12.0,-66.0,-64.0,25.0
208734,Belgium,2020-04-16,-73.0,-20.0,-4.0,-67.0,-65.0,27.0
208735,Belgium,2020-04-17,-75.0,-19.0,-14.0,-66.0,-63.0,30.0
208736,Belgium,2020-04-18,-80.0,-35.0,-54.0,-67.0,-45.0,22.0
208737,Belgium,2020-04-19,-76.0,-43.0,-29.0,-63.0,-41.0,15.0
208738,Belgium,2020-04-20,-66.0,-28.0,-9.0,-65.0,-60.0,24.0
208739,Belgium,2020-04-21,-66.0,-22.0,0.0,-64.0,-60.0,25.0
208740,Belgium,2020-04-22,-68.0,-25.0,-1.0,-63.0,-58.0,23.0
208741,Belgium,2020-04-23,-67.0,-19.0,2.0,-63.0,-60.0,25.0
208742,Belgium,2020-04-24,-71.0,-19.0,-17.0,-64.0,-59.0,28.0
208743,Belgium,2020-04-25,-75.0,-28.0,-25.0,-58.0,-39.0,19.0
208744,Belgium,2020-04-26,-70.0,-33.0,-3.0,-54.0,-36.0,13.0
208745,Belgium,2020-04-27,-63.0,-26.0,4.0,-62.0,-58.0,23.0
208746,Belgium,2020-04-28,-68.0,-23.0,-38.0,-68.0,-58.0,24.0
208747,Belgium,2020-04-29,-68.0,-21.0,-31.0,-64.0,-56.0,23.0
208748,Belgium,2020-04-30,-60.0,-1.0,-28.0,-64.0,-57.0,25.0
208749,Belgium,2020-05-01,-83.0,-69.0,-37.0,-76.0,-83.0,37.0
208750,Belgium,2020-05-02,-71.0,-19.0,-36.0,-60.0,-37.0,19.0
208751,Belgium,2020-05-03,-69.0,-36.0,-13.0,-55.0,-33.0,13.0
208752,Belgium,2020-05-04,-57.0,-19.0,-4.0,-59.0,-53.0,21.0
208753,Belgium,2020-05-05,-56.0,-16.0,17.0,-58.0,-53.0,21.0
208754,Belgium,2020-05-06,-57.0,-19.0,21.0,-55.0,-51.0,19.0
208755,Belgium,2020-05-07,-57.0,-13.0,19.0,-56.0,-52.0,22.0
208756,Belgium,2020-05-08,-60.0,-12.0,11.0,-56.0,-51.0,24.0
208757,Belgium,2020-05-09,-65.0,-18.0,17.0,-46.0,-28.0,15.0
208758,Belgium,2020-05-10,-62.0,-25.0,-39.0,-51.0,-17.0,10.0
208759,Belgium,2020-05-11,-41.0,-18.0,-18.0,-54.0,-48.0,19.0
208760,Belgium,2020-05-12,-40.0,-11.0,6.0,-50.0,-47.0,19.0
208761,Belgium,2020-05-13,-44.0,-15.0,-7.0,-50.0,-46.0,18.0
208762,Belgium,2020-05-14,-47.0,-8.0,-1.0,-49.0,-47.0,19.0
208763,Belgium,2020-05-15,-50.0,-7.0,1.0,-45.0,-44.0,21.0
208764,Belgium,2020-05-16,-54.0,-14.0,-6.0,-36.0,-18.0,13.0
208765,Belgium,2020-05-17,-59.0,-14.0,26.0,-32.0,-13.0,9.0
208766,Belgium,2020-05-18,-34.0,-9.0,22.0,-41.0,-43.0,16.0
208767,Belgium,2020-05-19,-33.0,-1.0,35.0,-39.0,-43.0,16.0
208768,Belgium,2020-05-20,-26.0,11.0,34.0,-38.0,-43.0,13.0
208769,Belgium,2020-05-21,-65.0,-52.0,80.0,-54.0,-80.0,25.0
208770,Belgium,2020-05-22,-38.0,5.0,-5.0,-49.0,-62.0,23.0
208771,Belgium,2020-05-23,-47.0,-13.0,-3.0,-36.0,-13.0,13.0
208772,Belgium,2020-05-24,-58.0,-19.0,4.0,-37.0,-11.0,9.0
208773,Belgium,2020-05-25,-29.0,-9.0,29.0,-40.0,-42.0,15.0
208774,Belgium,2020-05-26,-29.0,-4.0,47.0,-39.0,-39.0,15.0
208775,Belgium,2020-05-27,-32.0,-7.0,41.0,-38.0,-39.0,13.0
208776,Belgium,2020-05-28,-32.0,1.0,33.0,-39.0,-40.0,16.0
208777,Belgium,2020-05-29,-37.0,3.0,33.0,-37.0,-38.0,16.0
208778,Belgium,2020-05-30,-41.0,-1.0,35.0,-24.0,0.0,8.0
208779,Belgium,2020-05-31,-48.0,4.0,60.0,-22.0,0.0,5.0
208780,Belgium,2020-06-01,-57.0,-55.0,125.0,-51.0,-78.0,22.0
208781,Belgium,2020-06-02,-22.0,14.0,48.0,-34.0,-37.0,12.0
208782,Belgium,2020-06-03,-29.0,-2.0,35.0,-34.0,-36.0,12.0
208783,Belgium,2020-06-04,-36.0,-2.0,-19.0,-41.0,-37.0,16.0
208784,Belgium,2020-06-05,-41.0,-5.0,-28.0,-43.0,-36.0,17.0
208785,Belgium,2020-06-06,-39.0,-6.0,-10.0,-31.0,-2.0,10.0
208786,Belgium,2020-06-07,-45.0,-9.0,22.0,-29.0,1.0,7.0
208787,Belgium,2020-06-08,-14.0,-11.0,-9.0,-36.0,-36.0,12.0
208788,Belgium,2020-06-09,-14.0,-5.0,18.0,-34.0,-35.0,12.0
208789,Belgium,2020-06-10,-15.0,-9.0,25.0,-33.0,-34.0,11.0
208790,Belgium,2020-06-11,-15.0,-3.0,27.0,-33.0,-35.0,12.0
208791,Belgium,2020-06-12,-18.0,-3.0,27.0,-31.0,-33.0,12.0
208792,Belgium,2020-06-13,-20.0,-6.0,60.0,-18.0,7.0,5.0
