id,country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
938630,Germany,2020-03-01,8.0,18.0,21.0,4.0,1.0,0.0
938631,Germany,2020-03-02,2.0,8.0,9.0,-1.0,0.0,0.0
938632,Germany,2020-03-03,0.0,5.0,8.0,-3.0,0.0,1.0
938633,Germany,2020-03-04,2.0,2.0,14.0,-4.0,0.0,1.0
938634,Germany,2020-03-05,-4.0,0.0,0.0,-5.0,0.0,1.0
938635,Germany,2020-03-06,-3.0,1.0,-11.0,-7.0,-1.0,2.0
938636,Germany,2020-03-07,1.0,0.0,19.0,-2.0,0.0,1.0
938637,Germany,2020-03-08,12.0,19.0,31.0,2.0,1.0,0.0
938638,Germany,2020-03-09,-1.0,2.0,7.0,-5.0,-1.0,1.0
938639,Germany,2020-03-10,-7.0,-2.0,-13.0,-8.0,-1.0,3.0
938640,Germany,2020-03-11,-1.0,2.0,17.0,-7.0,-1.0,2.0
938641,Germany,2020-03-12,-7.0,6.0,4.0,-9.0,-2.0,2.0
938642,Germany,2020-03-13,-9.0,19.0,-3.0,-15.0,-4.0,4.0
938643,Germany,2020-03-14,-17.0,9.0,33.0,-19.0,-3.0,4.0
938644,Germany,2020-03-15,-12.0,13.0,75.0,-16.0,-5.0,2.0
938645,Germany,2020-03-16,-7.0,22.0,40.0,-25.0,-18.0,6.0
938646,Germany,2020-03-17,-21.0,11.0,31.0,-35.0,-25.0,10.0
938647,Germany,2020-03-18,-34.0,5.0,44.0,-39.0,-30.0,11.0
938648,Germany,2020-03-19,-45.0,-3.0,15.0,-46.0,-33.0,14.0
938649,Germany,2020-03-20,-50.0,-2.0,-14.0,-52.0,-36.0,16.0
938650,Germany,2020-03-21,-69.0,-24.0,-31.0,-59.0,-31.0,13.0
938651,Germany,2020-03-22,-71.0,-35.0,1.0,-58.0,-34.0,10.0
938652,Germany,2020-03-23,-57.0,-16.0,-5.0,-56.0,-41.0,16.0
938653,Germany,2020-03-24,-59.0,-18.0,9.0,-56.0,-43.0,18.0
938654,Germany,2020-03-25,-58.0,-18.0,11.0,-56.0,-43.0,18.0
938655,Germany,2020-03-26,-59.0,-16.0,3.0,-57.0,-44.0,18.0
938656,Germany,2020-03-27,-59.0,-14.0,21.0,-56.0,-44.0,19.0
938657,Germany,2020-03-28,-66.0,-21.0,33.0,-53.0,-33.0,12.0
938658,Germany,2020-03-29,-77.0,-51.0,-49.0,-68.0,-39.0,11.0
938659,Germany,2020-03-30,-54.0,-16.0,-13.0,-56.0,-43.0,17.0
938660,Germany,2020-03-31,-53.0,-12.0,7.0,-53.0,-43.0,17.0
938661,Germany,2020-04-01,-52.0,-13.0,20.0,-53.0,-43.0,17.0
938662,Germany,2020-04-02,-54.0,-11.0,6.0,-54.0,-43.0,17.0
938663,Germany,2020-04-03,-57.0,-11.0,-13.0,-57.0,-44.0,19.0
